3.856997e+02,0.000000e+00
4.011277e+02,6.047972e-02
4.165557e+02,7.443949e-02
4.319837e+02,8.279602e-02
4.474117e+02,8.956189e-02
4.628397e+02,8.814015e-02
4.782676e+02,8.613964e-02
4.936956e+02,8.669873e-02
5.091236e+02,9.223778e-02
5.245516e+02,9.614053e-02
5.399796e+02,9.368092e-02
5.554076e+02,9.241032e-02
5.708356e+02,9.738766e-02
5.862636e+02,1.019875e-01
6.016916e+02,9.768841e-02
6.171196e+02,8.573414e-02
6.325475e+02,7.474691e-02
6.479756e+02,6.753016e-02
6.634036e+02,6.063140e-02
6.788315e+02,5.131073e-02
6.942595e+02,4.399814e-02
7.096875e+02,3.828156e-02
7.251155e+02,3.568422e-02
7.405435e+02,3.333714e-02
7.559715e+02,3.214053e-02
7.713995e+02,3.389072e-02
7.868275e+02,3.413260e-02
8.022555e+02,2.800405e-02
8.176835e+02,2.250002e-02
8.331115e+02,1.769947e-02
8.485394e+02,1.710795e-02
8.639674e+02,1.338997e-02
8.793954e+02,6.785437e-03
8.948234e+02,5.103652e-04
9.102514e+02,-0.000000e+00
9.256794e+02,2.390228e-03
9.411074e+02,7.109900e-03
9.565354e+02,1.249986e-02
9.719634e+02,2.079553e-02
9.873914e+02,3.212879e-02
1.002819e+03,4.724913e-02
1.018247e+03,6.256756e-02
1.033675e+03,7.256377e-02
1.049103e+03,7.384992e-02
1.064531e+03,7.904344e-02
1.079959e+03,9.037058e-02
1.095387e+03,1.042827e-01
1.110815e+03,1.234585e-01
1.126243e+03,1.411574e-01
1.141671e+03,1.483355e-01
1.157099e+03,1.445826e-01
1.172527e+03,1.356689e-01
1.187955e+03,1.305075e-01
1.203383e+03,1.272429e-01
1.218811e+03,1.206662e-01
1.234239e+03,1.110473e-01
1.249667e+03,1.068023e-01
1.265095e+03,1.072935e-01
1.280523e+03,1.018494e-01
1.295951e+03,9.210259e-02
1.311379e+03,8.989701e-02
1.326807e+03,9.143902e-02
1.342235e+03,9.880988e-02
1.357663e+03,1.288668e-01
1.373091e+03,2.261309e-01
1.388519e+03,4.544594e-01
1.403947e+03,6.224984e-01
1.419375e+03,4.061207e-01
1.434803e+03,2.478776e-01
1.450231e+03,2.152538e-01
1.465659e+03,1.770078e-01
1.481087e+03,1.351383e-01
1.496515e+03,1.241143e-01
1.511943e+03,1.160690e-01
1.527371e+03,8.129577e-02
1.542799e+03,6.260966e-02
1.558227e+03,8.306088e-02
1.573655e+03,1.348815e-01
1.589083e+03,1.997312e-01
1.604511e+03,2.760019e-01
1.619939e+03,3.254706e-01
1.635367e+03,3.283593e-01
1.650795e+03,3.279571e-01
1.666223e+03,2.998910e-01
1.681651e+03,2.300107e-01
1.697079e+03,1.652190e-01
1.712507e+03,1.220325e-01
1.727935e+03,9.425755e-02
1.743363e+03,6.494064e-02
1.758791e+03,4.176732e-02
1.774219e+03,2.527088e-02
1.789647e+03,1.324572e-02
1.805075e+03,5.192002e-03
1.820503e+03,1.355240e-03
1.835931e+03,-0.000000e+00
1.851359e+03,2.008719e-04
1.866787e+03,4.428965e-04
1.882215e+03,1.194334e-03
1.897643e+03,1.921945e-03
1.913071e+03,3.197013e-03
1.928499e+03,4.493679e-03
1.943927e+03,5.927726e-03
1.959355e+03,7.414077e-03
1.974783e+03,9.054234e-03
1.990211e+03,1.069429e-02
2.005639e+03,1.244718e-02
2.021067e+03,1.419463e-02
2.036495e+03,1.589629e-02
2.051923e+03,1.711377e-02
2.067351e+03,1.787748e-02
2.082779e+03,1.822164e-02
2.098207e+03,1.862953e-02
2.113635e+03,1.910819e-02
2.129062e+03,1.968528e-02
2.144491e+03,2.027501e-02
2.159919e+03,2.105898e-02
2.175347e+03,2.158824e-02
2.190775e+03,2.188071e-02
2.206203e+03,2.225376e-02
2.221631e+03,2.277327e-02
2.237059e+03,2.352458e-02
2.252487e+03,2.456753e-02
2.267915e+03,2.571558e-02
2.283343e+03,2.715959e-02
2.298771e+03,2.987106e-02
2.314199e+03,3.476411e-02
2.329626e+03,4.243262e-02
2.345055e+03,4.738783e-02
2.360482e+03,4.817985e-02
2.375911e+03,4.049312e-02
2.391338e+03,3.588754e-02
2.406767e+03,3.571350e-02
2.422194e+03,3.731076e-02
2.437623e+03,3.903408e-02
2.453051e+03,4.070930e-02
2.468479e+03,4.222625e-02
2.483906e+03,4.367714e-02
2.499334e+03,4.506330e-02
2.514762e+03,4.627395e-02
2.530190e+03,4.736722e-02
2.545618e+03,4.843552e-02
2.561046e+03,4.957662e-02
2.576474e+03,5.083715e-02
2.591902e+03,5.223137e-02
2.607330e+03,5.346704e-02
2.622758e+03,5.433594e-02
2.638186e+03,5.513138e-02
2.653614e+03,5.623818e-02
2.669042e+03,5.746247e-02
2.684470e+03,5.907673e-02
2.699898e+03,6.138667e-02
2.715326e+03,6.417114e-02
2.730754e+03,6.763542e-02
2.746182e+03,7.248002e-02
2.761610e+03,7.951695e-02
2.777038e+03,8.689620e-02
2.792466e+03,9.252536e-02
2.807894e+03,9.787985e-02
2.823322e+03,1.053241e-01
2.838750e+03,1.135802e-01
2.854178e+03,1.198818e-01
2.869606e+03,1.263555e-01
2.885034e+03,1.355410e-01
2.900462e+03,1.487655e-01
2.915890e+03,1.666778e-01
2.931318e+03,1.877057e-01
2.946746e+03,2.085984e-01
2.962174e+03,2.339257e-01
2.977602e+03,2.654607e-01
2.993030e+03,3.026584e-01
3.008458e+03,3.352381e-01
3.023886e+03,3.532899e-01
3.039314e+03,3.687479e-01
3.054742e+03,4.054055e-01
3.070170e+03,4.723805e-01
3.085598e+03,5.713732e-01
3.101026e+03,6.859348e-01
3.116454e+03,7.779325e-01
3.131882e+03,8.142067e-01
3.147310e+03,8.167565e-01
3.162738e+03,8.054897e-01
3.178166e+03,7.887892e-01
3.193594e+03,7.581367e-01
3.209022e+03,7.205415e-01
3.224450e+03,6.726145e-01
3.239878e+03,6.267627e-01
3.255306e+03,5.834491e-01
3.270734e+03,5.459747e-01
3.286162e+03,5.114412e-01
3.301590e+03,4.928791e-01
3.317018e+03,4.971820e-01
3.332446e+03,5.152781e-01
3.347874e+03,5.130974e-01
3.363302e+03,5.064299e-01
3.378730e+03,5.101765e-01
3.394158e+03,5.258242e-01
3.409586e+03,5.517602e-01
3.425014e+03,5.923586e-01
3.440442e+03,6.104028e-01
3.455870e+03,5.916584e-01
3.471298e+03,5.424086e-01
3.486726e+03,4.963882e-01
3.502154e+03,4.546199e-01
3.517582e+03,4.228350e-01
3.533010e+03,3.892725e-01
3.548438e+03,3.565946e-01
3.563866e+03,3.179112e-01
3.579294e+03,2.818046e-01
3.594722e+03,2.456540e-01
3.610150e+03,2.121500e-01
3.625578e+03,1.730818e-01
3.641006e+03,1.375498e-01
3.656434e+03,1.021840e-01
3.671862e+03,7.658555e-02
3.687290e+03,5.618138e-02
3.702718e+03,4.549879e-02
3.718146e+03,3.832854e-02
3.733574e+03,3.404271e-02
3.749002e+03,3.115793e-02
3.764430e+03,2.710044e-02
3.779858e+03,2.269520e-02
3.795286e+03,2.040571e-02
3.810714e+03,1.897674e-02
3.826142e+03,1.773591e-02
3.841570e+03,1.628425e-02
3.856998e+03,1.561981e-02
3.872426e+03,1.399988e-02
3.887854e+03,1.185970e-02
3.903282e+03,1.045412e-02
3.918710e+03,8.855280e-03
3.934138e+03,7.243970e-03
3.949566e+03,5.884935e-03
3.964994e+03,3.969485e-03
3.980422e+03,1.868333e-03
3.995850e+03,-0.000000e+00
4.011278e+03,0.000000e+00
